lon,lat,source,country,year,wealthpooled,wealthpooled5country,households,urban_rural
88.09446,24.727418,BDHR41DT.ZIP,Bangladesh,2000,0.47433730674489394,-0.37335159248601324,29,0
88.232915,24.92588,BDHR41DT.ZIP,Bangladesh,2000,0.23762134244816566,0.0351741023007988,33,0
88.274134,24.500782,BDHR41DT.ZIP,Bangladesh,2000,0.6915538627354326,-0.7224645872162793,30,0
88.286215,24.589249,BDHR41DT.ZIP,Bangladesh,2000,-0.4962784014288464,1.0773106053352128,17,1
88.497805,24.780564,BDHR41DT.ZIP,Bangladesh,2000,1.1943420423455107,-1.1594119105728204,25,0
88.542649,24.523545,BDHR41DT.ZIP,Bangladesh,2000,0.9168408500888392,-0.7803819260865745,31,0
88.564208,24.369317,BDHR41DT.ZIP,Bangladesh,2000,-0.34925702771258044,0.8902430690779419,25,1
88.621059,24.418314,BDHR41DT.ZIP,Bangladesh,2000,0.4578235931092281,-0.3198433186153228,40,1
88.656647,24.436222,BDHR41DT.ZIP,Bangladesh,2000,0.8423297201617445,-0.7423992903082921,16,1
88.7499,25.070002,BDHR41DT.ZIP,Bangladesh,2000,1.118700681853256,-1.1022253826013417,27,0
88.799792,24.368841,BDHR41DT.ZIP,Bangladesh,2000,0.5660781134461262,-0.4712804760743301,34,0
88.929286,24.725515,BDHR41DT.ZIP,Bangladesh,2000,0.527237021292407,-0.4677794624181976,25,0
88.935351,24.596292,BDHR41DT.ZIP,Bangladesh,2000,0.7091709038210668,-0.6990489087756496,24,0
88.940281,24.749322,BDHR41DT.ZIP,Bangladesh,2000,0.129603426809383,0.1719658244244456,24,1
88.968887,25.031829,BDHR41DT.ZIP,Bangladesh,2000,0.8099425219998637,-0.9444783579467293,25,0
88.991066,24.399797,BDHR41DT.ZIP,Bangladesh,2000,-0.17567695833429547,0.6732557176499613,32,1
89.042653,24.154983,BDHR41DT.ZIP,Bangladesh,2000,0.3795984724982254,-0.24397519044035793,16,0
89.054743,24.083007,BDHR41DT.ZIP,Bangladesh,2000,0.4851059217533325,-0.39138907094538494,26,0
89.088584,24.394635,BDHR41DT.ZIP,Bangladesh,2000,0.6373281448277209,-0.6315651016678235,29,0
89.192133,24.446809,BDHR41DT.ZIP,Bangladesh,2000,0.6035308592226908,-0.5942674204985994,30,0
89.222013,24.008362,BDHR41DT.ZIP,Bangladesh,2000,-0.10332957242824266,0.5178821055978138,27,1
89.242148,24.284109,BDHR41DT.ZIP,Bangladesh,2000,0.5957204550721001,-0.5647504810512314,30,0
89.354023,24.84718,BDHR41DT.ZIP,Bangladesh,2000,-0.558930942560676,1.2122120643209373,24,1
89.400494,24.170656,BDHR41DT.ZIP,Bangladesh,2000,0.683364401473437,-0.6036929743321132,30,0
89.471568,24.801264,BDHR41DT.ZIP,Bangladesh,2000,0.6923929586059303,-0.752096031814858,29,0
89.476749,22.972908,BDHR41DT.ZIP,Bangladesh,2000,-0.23730910759785462,0.8171759282252556,24,0
89.485725,23.970712,BDHR41DT.ZIP,Bangladesh,2000,0.404682372279247,-0.27885210785280057,24,0
89.495844,23.188844,BDHR41DT.ZIP,Bangladesh,2000,0.5839619069056721,-0.42596170407301903,19,1
89.498625,23.774709,BDHR41DT.ZIP,Bangladesh,2000,0.6011459072788933,-0.5278392972457863,31,0
89.514095,25.322485,BDHR41DT.ZIP,Bangladesh,2000,0.6417677773393887,-0.6572894117679694,30,0
89.623679,23.876938,BDHR41DT.ZIP,Bangladesh,2000,0.628219546862738,-0.6320469297629335,28,0
89.655973,23.751574,BDHR41DT.ZIP,Bangladesh,2000,0.6109677582818466,-0.6067419813536391,23,0
89.667951,23.240004,BDHR41DT.ZIP,Bangladesh,2000,0.47107958806041017,-0.3374750308574464,29,0
89.729809,23.072756,BDHR41DT.ZIP,Bangladesh,2000,0.6596088813327239,-0.5288012157477768,24,0
89.746293,24.865031,BDHR41DT.ZIP,Bangladesh,2000,0.5943370313911511,-0.5798470218087296,28,0
89.798145,25.327655,BDHR41DT.ZIP,Bangladesh,2000,0.7566428848130625,-0.8485478700462169,31,0
89.815002,25.157246,BDHR41DT.ZIP,Bangladesh,2000,0.5425807436875876,-0.5114335695501181,33,0
89.825411,23.281561,BDHR41DT.ZIP,Bangladesh,2000,0.8913843557053391,-0.750786639106609,27,0
89.830192,23.861656,BDHR41DT.ZIP,Bangladesh,2000,0.5810788997796793,-0.40441245167069384,25,0
89.839968,23.595177,BDHR41DT.ZIP,Bangladesh,2000,-0.062431766550484755,0.47120603307805625,32,1
89.844254,24.764212,BDHR41DT.ZIP,Bangladesh,2000,0.605071856731475,-0.5954185623242755,26,1
89.853874,24.261021,BDHR41DT.ZIP,Bangladesh,2000,0.5690539586265486,-0.542855154559592,26,0
89.903301,25.041796,BDHR41DT.ZIP,Bangladesh,2000,0.6746365556938562,-0.7119632896047673,31,0
89.903753,23.567026,BDHR41DT.ZIP,Bangladesh,2000,0.5723483071080003,-0.5129139543394452,26,0
89.905138,24.252964,BDHR41DT.ZIP,Bangladesh,2000,0.15407804988957277,0.11326708444423374,23,1
89.905655,24.424075,BDHR41DT.ZIP,Bangladesh,2000,0.576115661591454,-0.5503639686126308,30,0
89.923979,23.259105,BDHR41DT.ZIP,Bangladesh,2000,1.0329771920650008,-0.8703382741888135,25,0
89.979486,23.400694,BDHR41DT.ZIP,Bangladesh,2000,0.5966953894192206,-0.3789296379081816,26,0
89.98387,23.935821,BDHR41DT.ZIP,Bangladesh,2000,0.5397186471287195,-0.4939980212337139,25,0
89.998706,25.000629,BDHR41DT.ZIP,Bangladesh,2000,0.5995200075773329,-0.5951654883095856,38,0
90.022486,23.055497,BDHR41DT.ZIP,Bangladesh,2000,0.8887690444361058,-0.7668342476317694,22,0
90.026241,24.627827,BDHR41DT.ZIP,Bangladesh,2000,0.24931087950369796,-0.027483505792964703,30,0
90.104343,24.942995,BDHR41DT.ZIP,Bangladesh,2000,0.6620387161967698,-0.6879831513353868,37,0
90.11395,23.04943,BDHR41DT.ZIP,Bangladesh,2000,0.9156058149948325,-0.7177679558973606,25,0
